driver_family,feature,horizon_label,model_name,evaluation_type,lambda,validation_rows,company_count,sectors,mae_fundamentals,mae_model,mae_improvement_vs_fundamentals,mae_improvement_ci_low,mae_improvement_ci_high,directional_hit_rate,rank_ic
margin,ebitda_margin,2Y,shuffled_gap_lambda_0.80,placebo,0.8,8,8,"['25', '30', '45']",0.0006795441784582927,0.0007484323778946464,-0.10137412933570111,-0.8296845571078988,0.002045303929196713,0.875,1.0
margin,ebitda_margin,2Y,shuffled_gap_lambda_1.00,placebo,1.0,8,8,"['25', '30', '45']",0.0006795441784582927,0.0007656544277537349,-0.1267176616696266,-0.8518785279776865,0.0011029433545171484,0.875,1.0
margin,ebitda_margin,2Y,wrong_sector_gap_lambda_0.00,sanity_check,0.0,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006795441784582927,0.0,0.0,0.0,0.875,1.0
margin,ebitda_margin,2Y,wrong_sector_gap_lambda_0.10,sanity_check,0.1,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006496074377038538,0.04405414938931185,-0.48093334837699314,0.09621965899877717,0.875,1.0
margin,ebitda_margin,2Y,wrong_sector_gap_lambda_0.20,sanity_check,0.2,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006514423377021426,0.0413539570302931,-1.5953530131569493,0.17535826019540962,1.0,1.0
margin,ebitda_margin,2Y,wrong_sector_gap_lambda_0.35,sanity_check,0.35,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006541946876995768,0.037303668491763364,-3.076798446763036,0.29904496243055045,1.0,1.0
margin,ebitda_margin,2Y,wrong_sector_gap_lambda_0.50,sanity_check,0.5,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006569470376970115,0.033253379953232964,-4.326110782852675,0.4330872496216395,1.0,1.0
margin,ebitda_margin,2Y,wrong_sector_gap_lambda_0.65,sanity_check,0.65,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006596993876944453,0.029203091414703897,-8.394750093504,0.5445984403182512,1.0,1.0
margin,ebitda_margin,2Y,wrong_sector_gap_lambda_0.80,sanity_check,0.8,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006624517376918794,0.025152802876174385,-9.3013962709487,0.6671400178312378,1.0,1.0
margin,ebitda_margin,2Y,wrong_sector_gap_lambda_1.00,sanity_check,1.0,8,8,"['25', '30', '45']",0.0006795441784582927,0.0007021056371791581,-0.03320087116639203,-10.051213493096464,0.8205499528407184,1.0,1.0
margin,ebitda_margin,2Y,random_driver_gap_lambda_0.00,sanity_check,0.0,8,8,"['25', '30', '45']",0.0006795441784582927,0.0006795441784582927,0.0,0.0,0.0,0.875,1.0
